Sentence,Label,Numerical Label
Your creativity is truly inspiring,Appreciative,0
Thank you for always being so kind and thoughtful,Appreciative,0
Your positivity is infectious,Appreciative,0
Your hard work and dedication are truly impressive,Appreciative,0
Your kindness and generosity are truly appreciated,Appreciative,0
You have a gift for making people feel valued and heard,Appreciative,0
Your enthusiasm for life is contagious,Appreciative,0
Your unwavering support means the world to me,Appreciative,0
You have an amazing talent for bringing people together,Appreciative,0
Your hard work and dedication are truly inspiring,Appreciative,0
Your positivity and optimism are a breath of fresh air,Appreciative,0
You have a heart of gold,Appreciative,0
Your intelligence and insight never cease to amaze me,Appreciative,0
You are a true inspiration,Appreciative,0
Your creativity knows no bounds,Appreciative,0
Your sense of humor always brightens my day,Appreciative,0
Your patience and understanding are truly admirable,Appreciative,0
Your passion and drive are an inspiration to us all,Appreciative,0
You have a way of making everyone feel special,Appreciative,0
Your wisdom and guidance are greatly appreciated,Appreciative,0
Your dedication to your work is truly remarkable,Appreciative,0
You have a heart full of compassion and empathy,Appreciative,0
Your positivity in the face of adversity is truly inspiring,Appreciative,0
You have a natural talent for leadership,Appreciative,0
Your creativity and innovation are truly impressive,Appreciative,0
Your attention to detail is truly remarkable,Appreciative,0
Your generosity and kindness are an example to us all,Appreciative,0
You have a special gift for bringing joy into the lives of others,Appreciative,0
Your talent and hard work are truly inspiring,Appreciative,0
Your determination and resilience are an inspiration to us all,Appreciative,0
Your ability to think outside the box is truly impressive,Appreciative,0
Your strength and courage in the face of challenges is truly admirable,Appreciative,0
Your dedication to your family and friends is truly heartwarming,Appreciative,0
Your selflessness and generosity are truly appreciated,Appreciative,0
Your positivity and enthusiasm for life are truly contagious,Appreciative,0
Your creativity and imagination are truly inspiring,Appreciative,0
Your calm and composed nature is truly admirable,Appreciative,0
Your wisdom and insight always leave me in awe,Appreciative,0
Your kind and caring nature is a true gift,Appreciative,0
Your hard work and dedication to your craft are truly impressive,Appreciative,0
Your resilience and determination in the face of challenges is truly inspiring,Appreciative,0
Your positive attitude is infectious,Appreciative,0
Your commitment to excellence is truly remarkable,Appreciative,0
Your thoughtfulness and empathy are truly appreciated,Appreciative,0
Your ability to inspire others is truly remarkable,Appreciative,0
Your intelligence and creativity are truly impressive,Appreciative,0
Your ability to find solutions to complex problems is truly inspiring,Appreciative,0
Your generosity and kindness are a true example to us all,Appreciative,0
Your dedication to your work and your colleagues is truly admirable,Appreciative,0
Your hard work and perseverance are truly inspiring,Appreciative,0
Your positive energy and outlook on life are truly contagious,Appreciative,0
Your ability to connect with people on a deep level is truly admirable,Appreciative,0
Your creativity and passion are truly inspiring,Appreciative,0
Your sense of humor and wit always bring a smile to my face,Appreciative,0
You always know just what to say to make me feel better. ,Appreciative,0
Your kindness and generosity know no bounds. ,Appreciative,0
"Thank you for always being there for me, no matter what. ",Appreciative,0
Your dedication and hard work are truly inspiring. ,Appreciative,0
I am so grateful to have you in my life. ,Appreciative,0
You have an amazing sense of humor that always brightens my day. ,Appreciative,0
Your positive attitude is contagious and lifts everyone's spirits. ,Appreciative,0
You are an incredible friend and I appreciate everything you do. ,Appreciative,0
Your creativity and talent never cease to amaze me. ,Appreciative,0
Thank you for being such a great listener and always giving the best advice. ,Appreciative,0
Your intelligence and problem-solving skills are truly impressive. ,Appreciative,0
I feel so lucky to know someone as kind and caring as you. ,Appreciative,0
Your thoughtfulness and attention to detail are truly appreciated. ,Appreciative,0
You have a heart of gold and I am constantly inspired by your generosity. ,Appreciative,0
Your hard work and dedication are an inspiration to us all. ,Appreciative,0
Your positivity and enthusiasm are infectious and always make me smile. ,Appreciative,0
I am so grateful to have such a supportive and loving partner. ,Appreciative,0
Your strength and resilience in the face of adversity are truly remarkable. ,Appreciative,0
Your unwavering commitment to your goals is truly inspiring. ,Appreciative,0
You have a beautiful soul and I feel lucky to have you in my life. ,Appreciative,0
Thank you for always being there for me and offering your unwavering support. ,Appreciative,0
Your intelligence and insight are always impressive and make me think. ,Appreciative,0
Your kindness and compassion are an example to us all. ,Appreciative,0
Your determination and hard work are truly admirable. ,Appreciative,0
You always go above and beyond to help others and make the world a better place. ,Appreciative,0
Your generosity and selflessness never cease to amaze me. ,Appreciative,0
You have an incredible ability to make others feel valued and appreciated. ,Appreciative,0
Thank you for always being there to lend an ear and offer your support. ,Appreciative,0
Your strength and courage in the face of challenges are truly inspiring. ,Appreciative,0
Your positive attitude and resilience in the face of adversity are truly remarkable. ,Appreciative,0
You have an amazing ability to make even the most mundane tasks fun and enjoyable. ,Appreciative,0
Your creativity and artistic talent are truly impressive. ,Appreciative,0
You have an incredible work ethic and always give 110%. ,Appreciative,0
Your kindness and compassion know no bounds. ,Appreciative,0
Your leadership and guidance are truly appreciated by everyone around you. ,Appreciative,0
You are an amazing parent and your children are lucky to have you. ,Appreciative,0
Your unwavering commitment to your beliefs and values is truly admirable. ,Appreciative,0
Your generosity and willingness to help others never cease to amaze me. ,Appreciative,0
Your intelligence and critical thinking skills are truly impressive. ,Appreciative,0
Your positive outlook on life and ability to see the good in everything is truly inspiring. ,Appreciative,0
"Your kindness knows no bounds, and it never goes unnoticed.",Appreciative,0
"You have such a wonderful way with words, and I am always amazed by your writing.",Appreciative,0
"Thank you for always being there for me, even when things get tough.",Appreciative,0
"You have a heart of gold, and your generosity is truly inspiring.",Appreciative,0
"You bring so much joy and positivity into my life, and I am forever grateful.",Appreciative,0
Your talent and creativity continue to amaze me every day.,Appreciative,0
"You have a beautiful soul, and it shines through in everything you do.",Appreciative,0
"Your dedication and hard work are truly admirable, and I am in awe of your achievements.",Appreciative,0
"You are a true gem, and I feel lucky to have you in my life.",Appreciative,0
"Your wisdom and guidance have been invaluable to me, and I am so grateful for your support.",Appreciative,0
"You have a way of making even the most mundane tasks enjoyable, and I appreciate that about you.",Appreciative,0
"You have a remarkable ability to inspire and motivate others, and I am lucky to have you as a role model.",Appreciative,0
"Your positive energy and enthusiasm are contagious, and I always feel uplifted in your presence.",Appreciative,0
"Your generosity and kindness are truly unparalleled, and I am constantly inspired by your actions.",Appreciative,0
"You have a unique perspective on life, and I always learn something new when I talk to you.",Appreciative,0
"Your empathy and compassion for others is truly remarkable, and I am inspired by your selflessness.",Appreciative,0
"You have a heart of gold, and your generosity and kindness never go unnoticed.",Appreciative,0
"Your creativity and talent continue to amaze me, and I feel lucky to have you in my life.",Appreciative,0
"Your strength and resilience in the face of adversity are truly inspiring, and I am in awe of your courage.",Appreciative,0
"Your positive attitude and outlook on life are contagious, and I always feel uplifted after talking to you.",Appreciative,0
"Your hard work and dedication are truly admirable, and I am grateful for your contributions.",Appreciative,0
"You have a remarkable ability to make people feel valued and appreciated, and I am lucky to know you.",Appreciative,0
"Your intelligence and knowledge are truly impressive, and I am always learning from you.",Appreciative,0
"You have a beautiful spirit, and your kindness and generosity never go unnoticed.",Appreciative,0
"Your honesty and authenticity are truly refreshing, and I admire your integrity.",Appreciative,0
"You have a natural talent for connecting with people, and I always enjoy talking to you.",Appreciative,0
"Your positive impact on the world is truly inspiring, and I am grateful for your contributions.",Appreciative,0
"You have a way of making even the most difficult situations seem manageable, and I appreciate your level-headedness.",Appreciative,0
"Your support and encouragement mean the world to me, and I am grateful for your friendship.",Appreciative,0
"Your creativity and imagination are truly inspiring, and I feel lucky to know you.",Appreciative,0
"Your generosity and kindness are truly unmatched, and I am constantly inspired by your actions.",Appreciative,0
"You have a way of making people feel comfortable and at ease, and I appreciate that about you.",Appreciative,0
"Your hard work and dedication to your craft are truly admirable, and I am in awe of your achievements.",Appreciative,0
Don't leave your valuables unattended in a public place,Cautionary,1
Always wear safety gear when operating heavy machinery,Cautionary,1
Don't use your phone while driving,Cautionary,1
Be careful when using sharp objects,Cautionary,1
Don't believe everything you read on the internet,Cautionary,1
Don't ignore warning signs,Cautionary,1
Always lock your doors and windows before leaving the house,Cautionary,1
Be cautious of scam calls and emails,Cautionary,1
Don't leave food out for too long,Cautionary,1
Always double-check important information,Cautionary,1
Don't leave children unattended near bodies of water,Cautionary,1
Be mindful of your surroundings in unfamiliar areas,Cautionary,1
Don't forget to save your work frequently,Cautionary,1
Always follow the instructions on medication labels,Cautionary,1
Don't share your passwords with anyone,Cautionary,1
Be aware of potential allergens in food,Cautionary,1
Don't leave candles burning unattended,Cautionary,1
Always wear protective gear when playing contact sports,Cautionary,1
Don't leave pets unattended in hot vehicles,Cautionary,1
Be cautious when entering personal information online,Cautionary,1
Don't ignore pain or discomfort in your body,Cautionary,1
Always be aware of your surroundings while walking or jogging outside,Cautionary,1
Don't forget to backup important files,Cautionary,1
Be cautious when lending money to others,Cautionary,1
Don't neglect to maintain your car,Cautionary,1
Always wear sunscreen to protect your skin from the sun's harmful rays,Cautionary,1
Be cautious when accepting friend requests on social media,Cautionary,1
Don't leave your keys in your car,Cautionary,1
Always be prepared for emergencies,Cautionary,1
Don't forget to turn off appliances when not in use,Cautionary,1
Be careful when using power tools,Cautionary,1
Don't forget to read the fine print before signing a contract,Cautionary,1
Always keep your personal belongings in a safe place,Cautionary,1
Be cautious of phone or email scams,Cautionary,1
Don't leave sharp objects within reach of children,Cautionary,1
Always wear a life jacket when boating or swimming,Cautionary,1
Don't forget to turn off the oven after cooking,Cautionary,1
Be careful when walking on slippery surfaces,Cautionary,1
Don't underestimate the importance of sleep,Cautionary,1
Always be aware of your alcohol consumption,Cautionary,1
Don't leave your computer unsecured in a public place,Cautionary,1
Be cautious when traveling to unfamiliar areas,Cautionary,1
Don't ignore safety warnings while hiking or camping,Cautionary,1
Always wear appropriate safety gear when playing sports,Cautionary,1
Don't forget to check the expiration date on food products,Cautionary,1
Be careful when handling hot liquids,Cautionary,1
Don't underestimate the danger of electrical appliances,Cautionary,1
Always be aware of your personal belongings while traveling,Cautionary,1
Don't forget to secure your home before leaving for vacation,Cautionary,1
Always look both ways before crossing the street,Cautionary,1
Don't talk to strangers on the internet,Cautionary,1
Don't leave your drink unattended at a party,Cautionary,1
Always wear sunscreen to protect your skin from the sun,Cautionary,1
Don't text and drive,Cautionary,1
Be careful when using sharp knives in the kitchen,Cautionary,1
Don't leave candles burning unattended,Cautionary,1
Always wear a helmet when riding a bike,Cautionary,1
Be aware of your surroundings when walking alone at night,Cautionary,1
Don't touch a hot stove without oven mitts,Cautionary,1
Be careful when handling chemicals,Cautionary,1
Don't share personal information with strangers,Cautionary,1
Don't leave valuables in your car,Cautionary,1
"Don't touch the stove, it's hot.",Cautionary,1
"Be careful when crossing the street, look both ways.",Cautionary,1
"Don't drink and drive, it's dangerous.",Cautionary,1
"Don't run with scissors, you could get hurt.",Cautionary,1
"Don't talk to strangers, it's not safe.",Cautionary,1
"Don't text and drive, it can wait.",Cautionary,1
"Be cautious when using power tools, they can be dangerous.",Cautionary,1
"Don't leave your drink unattended, it could be spiked.",Cautionary,1
